Token,NE?,NEtype,Governor,ListofDependants,SentimentValueofToken,SentimentValueofSentence
Trump,1,ORG,suit,[],0.0,-4.0
suit,0,,BERNARD,"['Trump', 'against', 'part', 'COLVIN']",0.0,-4.0
against,0,,suit,['Clinton'],0.0,-4.0
Clinton,1,PERSON,against,[],0.0,-4.0
part,0,,suit,['of'],0.0,-4.0
of,0,,part,[],0.0,-4.0
longtime,0,,JILL,[],0.0,-4.0
legal,0,,strategyBy,[],1.0,-4.0
strategyBy,0,,JILL,['legal'],0.0,-4.0
JILL,1,ORG,COLVIN,"['longtime', 'strategyBy']",0.0,-4.0
COLVIN,0,,suit,"['JILL', 'TUCKER']",0.0,-4.0
ERIC,1,PERSON,TUCKER,[],0.0,-4.0
TUCKER,1,PERSON,COLVIN,"['ERIC', 'and']",0.0,-4.0
and,0,,TUCKER,[],0.0,-4.0
BERNARD,1,ORG,BERNARD,"['suit', 'revisits', 'grievance', ':', 'colluding', '.']",0.0,-4.0
CONDON,0,,30.3.2022,[],0.0,-4.0
30.3.2022,1,PERSON,Trump,['CONDON'],0.0,-4.0
Trump,1,PERSON,revisits,"['30.3.2022', ""'s""]",0.0,-4.0
's,1,PERSON,Trump,[],0.0,-4.0
latest,0,,revisits,[],0.0,-4.0
lawsuit,0,,revisits,[],-2.0,-4.0
revisits,0,,BERNARD,"['Trump', 'latest', 'lawsuit']",0.0,-4.0
a,0,,grievance,[],0.0,-4.0
familiar,0,,grievance,[],0.0,-4.0
grievance,0,,BERNARD,"['a', 'familiar']",0.0,-4.0
that,0,,colluding,['Democrats'],0.0,-4.0
Democrats,1,NORP,that,['in'],0.0,-4.0
in,0,,Democrats,['claims'],0.0,-4.0
2016,1,DATE,claims,[],0.0,-4.0
concocted,0,,claims,[],0.0,-4.0
fictitious,0,,claims,[],0.0,-4.0
claims,0,,in,"['2016', 'concocted', 'fictitious']",0.0,-4.0
that,0,,colluding,[],0.0,-4.0
his,0,,campaign,[],0.0,-4.0
campaign,0,,colluding,['his'],0.0,-4.0
was,0,,colluding,[],0.0,-4.0
colluding,0,,BERNARD,"['that', 'that', 'campaign', 'was', 'with', 'and', 'pursued']",-3.0,-4.0
with,0,,colluding,['Russia'],0.0,-4.0
Russia,1,GPE,with,[],0.0,-4.0
and,0,,colluding,[],0.0,-4.0
that,0,,pursued,[],0.0,-4.0
the,0,,FBI,[],0.0,-4.0
FBI,1,ORG,pursued,"['the', 'as']",0.0,-4.0
as,0,,FBI,['result'],0.0,-4.0
a,0,,result,[],0.0,-4.0
result,0,,as,['a'],0.0,-4.0
pursued,0,,colluding,"['that', 'FBI', 'investigation']",0.0,-4.0
an,0,,investigation,[],0.0,-4.0
unfounded,0,,investigation,[],0.0,-4.0
investigation,0,,pursued,"['an', 'unfounded']",0.0,-4.0
NEW,1,GPE,YORK,[],0.0,0.0
YORK,1,GPE,responded,"['NEW', '(', 'AP', ')', '---']",0.0,0.0
AP,1,ORG,YORK,[],0.0,0.0
When,0,,panned,[],0.0,0.0
a,0,,critic,[],0.0,0.0
Pulitzer,1,WORK_OF_ART,Prize,[],0.0,0.0
Prize,1,WORK_OF_ART,winning,['Pulitzer'],0.0,0.0
winning,0,,critic,"['Prize', '-']",4.0,0.0
architecture,0,,critic,[],0.0,0.0
critic,0,,panned,"['a', 'winning', 'architecture']",-2.0,0.0
panned,0,,responded,"['When', 'critic', 'plans']",0.0,0.0
Donald,1,PERSON,Trump,[],0.0,0.0
Trump,1,PERSON,plans,"['Donald', ""'s""]",0.0,0.0
's,1,PERSON,Trump,[],0.0,0.0
plans,0,,panned,"['Trump', 'for']",0.0,0.0
for,0,,plans,['skyscraper'],0.0,0.0
a,0,,skyscraper,[],0.0,0.0
new,0,,skyscraper,[],0.0,0.0
Manhattan,1,GPE,skyscraper,[],0.0,0.0
skyscraper,0,,for,"['a', 'new', 'Manhattan']",0.0,0.0
Trump,1,ORG,responded,[],0.0,0.0
responded,0,,responded,"['YORK', 'panned', 'Trump', 'by', '.']",0.0,0.0
by,0,,responded,['suing'],0.0,0.0
suing,0,,by,[],-2.0,0.0
When,0,,sued,[],0.0,-1.0
the,0,,tenants,[],0.0,-1.0
tenants,0,,sued,"['the', 'of', 'trying']",0.0,-1.0
of,0,,tenants,['building'],0.0,-1.0
a,0,,building,[],0.0,-1.0
building,0,,of,['a'],0.0,-1.0
he,0,,trying,[],0.0,-1.0
was,0,,trying,[],0.0,-1.0
trying,0,,tenants,"['he', 'was', 'clear']",0.0,-1.0
to,0,,clear,[],0.0,-1.0
clear,0,,trying,['to'],1.0,-1.0
sued,0,,sued,"['When', 'tenants', 'halt', '.']",-2.0,-1.0
to,0,,halt,[],0.0,-1.0
halt,0,,sued,"['to', 'evictions']",0.0,-1.0
their,0,,evictions,[],0.0,-1.0
evictions,0,,halt,"['their', 'slapped']",0.0,-1.0
Trump,1,PERSON,slapped,[],0.0,-1.0
slapped,0,,evictions,"['Trump', 'back', 'by']",0.0,-1.0
back,0,,slapped,[],0.0,-1.0
by,0,,slapped,['filing'],0.0,-1.0
filing,0,,by,"['suit', 'against']",0.0,-1.0
suit,0,,filing,[],0.0,-1.0
against,0,,filing,['firm'],0.0,-1.0
the,0,,firm,[],0.0,-1.0
law,0,,firm,[],0.0,-1.0
firm,0,,against,"['the', 'law', 'representing']",0.0,-1.0
representing,0,,firm,['tenants'],0.0,-1.0
the,0,,tenants,[],0.0,-1.0
tenants,0,,representing,['the'],0.0,-1.0
And,0,,said,[],0.0,3.0
when,0,,said,[],0.0,3.0
an,0,,author,[],0.0,3.0
author,0,,said,['an'],0.0,3.0
said,0,,said,"['And', 'when', 'author', 'was', '.']",0.0,3.0
the,0,,president,[],0.0,3.0
former,0,,president,[],0.0,3.0
president,0,,was,"['the', 'former']",0.0,3.0
was,0,,said,"['president', 'worth']",0.0,3.0
worth,0,,was,['less'],2.0,3.0
far,0,,less,[],0.0,3.0
less,0,,worth,"['far', 'claimed']",0.0,3.0
than,0,,claimed,[],0.0,3.0
he,0,,claimed,[],0.0,3.0
'd,0,,claimed,[],0.0,3.0
claimed,0,,less,"['than', 'he', ""'d"", 'took']",0.0,3.0
Trump,1,PERSON,took,[],0.0,3.0
again,0,,took,[],0.0,3.0
took,0,,claimed,"['Trump', 'again', 'action']",0.0,3.0
legal,0,,action,[],1.0,3.0
action,0,,took,['legal'],0.0,3.0
So,0,,was,[],0.0,2.0
when,0,,filed,[],0.0,2.0
Trump,1,ORG,week,[],0.0,2.0
last,1,DATE,week,[],0.0,2.0
week,1,DATE,filed,"['Trump', 'last']",0.0,2.0
filed,0,,was,"['when', 'week', 'suit']",0.0,2.0
a,0,,suit,[],0.0,2.0
sprawling,0,,suit,[],0.0,2.0
suit,0,,filed,"['a', 'sprawling', 'accusing']",0.0,2.0
accusing,0,,suit,['rival'],-2.0,2.0
his,0,,rival,[],0.0,2.0
2016,1,DATE,rival,[],0.0,2.0
rival,0,,accusing,"['his', '2016', 'Clinton']",0.0,2.0
Hillary,1,PERSON,Clinton,[],0.0,2.0
Clinton,1,PERSON,rival,"['Hillary', 'and', 'Party']",0.0,2.0
and,0,,Clinton,[],0.0,2.0
the,1,ORG,Party,[],0.0,2.0
Democratic,1,ORG,Party,[],0.0,2.0
Party,1,ORG,Clinton,"['the', 'Democratic', 'of']",0.0,2.0
of,0,,Party,['conspiring'],0.0,2.0
conspiring,0,,of,['sink'],0.0,2.0
to,0,,sink,[],0.0,2.0
sink,0,,conspiring,"['to', 'campaign', 'by']",0.0,2.0
his,0,,campaign,[],0.0,2.0
winning,0,,campaign,[],4.0,2.0
presidential,0,,campaign,[],0.0,2.0
campaign,0,,sink,"['his', 'winning', 'presidential']",0.0,2.0
by,0,,sink,['alleging'],0.0,2.0
alleging,0,,by,['ties'],0.0,2.0
ties,0,,alleging,['to'],0.0,2.0
to,0,,ties,['one'],0.0,2.0
Russia,1,GPE,renewing,[],0.0,2.0
renewing,0,,one,"['Russia', '-']",0.0,2.0
one,1,CARDINAL,to,"['renewing', 'of']",0.0,2.0
of,0,,one,['affronts'],0.0,2.0
his,0,,affronts,[],0.0,2.0
longest,0,,standing,[],0.0,2.0
standing,0,,affronts,"['longest', '-']",0.0,2.0
perceived,0,,affronts,[],0.0,2.0
affronts,0,,of,"['his', 'standing', 'perceived']",0.0,2.0
it,0,,was,[],0.0,2.0
was,0,,was,"['So', 'filed', '-', 'it', ""n't"", 'surprise', '.']",0.0,2.0
n't,0,,was,[],0.0,2.0
a,0,,surprise,[],0.0,2.0
surprise,0,,was,['a'],0.0,2.0
Trump,1,ORG,spent,[],0.0,1.0
has,0,,spent,[],0.0,1.0
spent,0,,spent,"['Trump', 'has', 'decades', '.']",0.0,1.0
decades,1,DATE,spent,['repurposing'],0.0,1.0
repurposing,0,,decades,"['grievances', 'into']",0.0,1.0
political,0,,grievances,"['and', 'personal']",0.0,1.0
and,0,,political,[],0.0,1.0
personal,0,,political,[],0.0,1.0
grievances,0,,repurposing,['political'],0.0,1.0
into,0,,repurposing,['causes'],0.0,1.0
causes,0,,into,['of'],0.0,1.0
of,0,,causes,['action'],0.0,1.0
legal,0,,action,[],1.0,1.0
action,0,,of,['legal'],0.0,1.0
Throughout,0,,used,['career'],0.0,-4.0
his,0,,business,[],0.0,-4.0
business,0,,career,"['his', 'and']",0.0,-4.0
and,0,,business,[],0.0,-4.0
political,0,,career,[],0.0,-4.0
career,0,,Throughout,"['business', 'political']",0.0,-4.0
he,0,,used,[],0.0,-4.0
has,0,,used,[],0.0,-4.0
used,0,,used,"['Throughout', 'he', 'has', 'courts', 'as', 'air', 'as', '.']",0.0,-4.0
the,0,,courts,[],0.0,-4.0
courts,0,,used,['the'],0.0,-4.0
as,0,,used,['venue'],0.0,-4.0
a,0,,venue,[],0.0,-4.0
venue,0,,as,['a'],0.0,-4.0
to,0,,air,[],0.0,-4.0
air,0,,used,"['to', 'complaints', 'and']",0.0,-4.0
his,0,,complaints,[],0.0,-4.0
complaints,0,,air,['his'],-2.0,-4.0
and,0,,air,[],0.0,-4.0
as,0,,used,['tool'],0.0,-4.0
a,0,,tool,[],0.0,-4.0
