Token,NEtype,Governor,ListofDependants,SentimentValueofToken,SentimentValueofSentence
Trump,ORG,suit,[],0.0,-4.0
Clinton,PERSON,against,[],0.0,-4.0
JILL,ORG,COLVIN,"['longtime', 'strategyBy']",0.0,-4.0
ERIC,PERSON,TUCKER,[],0.0,-4.0
TUCKER,PERSON,COLVIN,"['ERIC', 'and']",0.0,-4.0
BERNARD,ORG,BERNARD,"['suit', 'revisits', 'grievance', ':', 'colluding', '.']",0.0,-4.0
30.3.2022,PERSON,Trump,['CONDON'],0.0,-4.0
Trump,PERSON,revisits,"['30.3.2022', ""'s""]",0.0,-4.0
's,PERSON,Trump,[],0.0,-4.0
Democrats,NORP,that,['in'],0.0,-4.0
2016,DATE,claims,[],0.0,-4.0
Russia,GPE,with,[],0.0,-4.0
FBI,ORG,pursued,"['the', 'as']",0.0,-4.0
NEW,GPE,YORK,[],0.0,0.0
YORK,GPE,responded,"['NEW', '(', 'AP', ')', '---']",0.0,0.0
AP,ORG,YORK,[],0.0,0.0
Pulitzer,WORK_OF_ART,Prize,[],0.0,0.0
Prize,WORK_OF_ART,winning,['Pulitzer'],0.0,0.0
Donald,PERSON,Trump,[],0.0,0.0
Trump,PERSON,plans,"['Donald', ""'s""]",0.0,0.0
's,PERSON,Trump,[],0.0,0.0
Manhattan,GPE,skyscraper,[],0.0,0.0
Trump,ORG,responded,[],0.0,0.0
Trump,PERSON,slapped,[],0.0,-1.0
Trump,PERSON,took,[],0.0,3.0
Trump,ORG,week,[],0.0,2.0
last,DATE,week,[],0.0,2.0
week,DATE,filed,"['Trump', 'last']",0.0,2.0
2016,DATE,rival,[],0.0,2.0
Hillary,PERSON,Clinton,[],0.0,2.0
Clinton,PERSON,rival,"['Hillary', 'and', 'Party']",0.0,2.0
the,ORG,Party,[],0.0,2.0
Democratic,ORG,Party,[],0.0,2.0
Party,ORG,Clinton,"['the', 'Democratic', 'of']",0.0,2.0
Russia,GPE,renewing,[],0.0,2.0
one,CARDINAL,to,"['renewing', 'of']",0.0,2.0
Trump,ORG,spent,[],0.0,1.0
decades,DATE,spent,['repurposing'],0.0,1.0
James,PERSON,Zirin,[],0.0,-3.0
D.,PERSON,Zirin,[],0.0,-3.0
Zirin,PERSON,said,"['James', 'D.', 'prosecutor', 'author']",0.0,-3.0
Manhattan,GPE,in,['and'],0.0,-3.0
Plaintiff,LAW,book,['in'],0.0,-3.0
